instal;maquina;comb;dtini_oper;din_des;din_iniapur
IVX341;IVX3411580;HD;23/11/2016;;23/11/2016
IVX341;IVX3411581;HD;23/11/2016;;23/11/2016
IVX341;IVX3411582;HD;23/11/2016;;23/11/2016
IVX341;IVX3411583;HD;16/09/2016;;16/09/2016
IVX327;IVX3271584;GS;22/12/2018;;22/12/2018
IVX327;IVX3271585;GS;17/11/2018;;17/11/2018
IVX327;IVX3271586;GS;19/09/2017;;19/09/2017
IVX261;IVX2611587;OD;06/07/2002;01/01/2005;
IVX160;IVX1601588;OD;28/05/2002;09/07/2004;
IVX226;IVX2261589;HD;17/09/2016;;15/09/2022
IVX187;IVX1871591;HD;31/01/1959;;01/01/1996
IVX267;IVX2671592;GS;13/09/2008;;13/09/2008
IVX231;IVX2311593;OL;08/02/2011;;08/02/2011
IVX231;IVX2311594;OL;08/02/2011;;08/02/2011
IVX91;IVX911595;HD;28/02/1987;;01/01/1996
IVX204;IVX2041596;OD;13/07/2002;01/01/2005;
IVX204;IVX2041597;OD;13/07/2002;01/01/2005;
IVX204;IVX2041598;OD;13/07/2002;01/01/2005;
IVX204;IVX2041599;OD;13/07/2002;01/01/2005;
IVX204;IVX2041600;OD;13/07/2002;01/01/2005;
IVX204;IVX2041601;OD;13/07/2002;01/01/2005;
IVX204;IVX2041602;OD;13/07/2002;01/01/2005;
IVX204;IVX2041603;OD;13/07/2002;01/01/2005;
IVX204;IVX2041604;OD;13/07/2002;01/01/2005;
IVX204;IVX2041605;OD;13/07/2002;01/01/2005;
IVX341;IVX3411606;HD;06/02/2015;;06/02/2015
IVX204;IVX2041607;OD;13/07/2002;01/01/2005;
IVX145;IVX1451608;OD;28/06/2002;01/01/2005;
IVX145;IVX1451609;OD;28/06/2002;01/01/2005;
IVX145;IVX1451610;OD;28/06/2002;01/01/2005;
IVX145;IVX1451611;OD;28/06/2002;01/01/2005;
IVX145;IVX1451612;OD;28/06/2002;01/01/2005;
IVX145;IVX1451613;OD;28/06/2002;01/01/2005;
IVX146;IVX1461614;HD;28/02/1977;;01/01/1996
IVX146;IVX1461615;HD;28/02/1977;;01/01/1996
IVX143;IVX1431616;HD;31/12/2014;;31/12/2014
IVX143;IVX1431617;HD;14/11/2014;;14/11/2014
IVX143;IVX1431618;HD;17/09/2014;;17/09/2014
IVX142;IVX1421619;DO;01/01/1993;17/04/2018;01/08/2015
IVX91;IVX911620;HD;10/11/1984;;01/01/1996
IVX145;IVX1451621;OD;28/06/2002;01/01/2005;
IVX229;IVX2291622;HD;10/09/1985;;01/01/2001
IVX341;IVX3411623;HD;04/03/2015;;04/03/2015
IVX289;IVX2891624;HD;13/12/2013;;13/12/2013
IVX153;IVX1531625;HD;31/01/1982;;01/01/1996
IVX152;IVX1521626;HD;16/03/2003;;16/03/2003
IVX152;IVX1521627;HD;12/06/2003;;12/06/2003
IVX152;IVX1521628;HD;05/02/2003;;05/02/2003
IVX146;IVX1461629;HD;28/02/1977;;01/01/1996
IVX146;IVX1461630;HD;28/02/1977;;01/01/1996
IVX341;IVX3411631;HD;08/03/2014;;08/03/2014
IVX341;IVX3411632;HD;04/09/2014;;04/09/2014
IVX341;IVX3411633;HD;25/11/2014;;25/11/2014
IVX82;IVX821634;HD;01/07/2000;;01/07/2000
IVX273;IVX2731635;HD;14/10/2010;;14/10/2010
IVX291;IVX2911636;HD;09/05/2007;;09/05/2007
IVX66;IVX661637;CV;30/11/1974;05/04/2022;01/01/1996
IVX341;IVX3411638;HD;19/02/2014;;19/02/2014
IVX66;IVX661639;CV;08/04/1963;05/04/2022;01/01/1996
