id_unidadegeradora;uge_id;instal;maquina;id_tpcombustivel;dtini_oper;din_des;din_iniapur
544;BAEGJG0UG67;IVX145;IVX145599;OD;2002-06-28 00:00:00;2005-01-01;
545;BAEGJG0UG51;IVX145;IVX145600;OD;2002-06-28 00:00:00;2005-01-01;
546;ESBEPB0UG2 ;IVX147;IVX147601;OD;2002-06-21 00:00:00;2006-01-01;
547;ESBEPB0UG29;IVX147;IVX147602;OD;2002-06-21 00:00:00;2006-01-01;
548;SEBEJD0UG38;IVX295;IVX295603;OD;2002-08-08 00:00:00;2006-01-01;
549;SEBEJD0UG33;IVX295;IVX295604;OD;2002-08-08 00:00:00;2006-01-01;
550;SEBEJD0UG27;IVX295;IVX295605;OD;2002-08-08 00:00:00;2006-01-01;
551;SEBEJD0UG21;IVX295;IVX295606;OD;2002-08-08 00:00:00;2006-01-01;
552;SEBEJD0UG15;IVX295;IVX295607;OD;2002-08-08 00:00:00;2006-01-01;
553;SEBEJD0UG10;IVX295;IVX295608;OD;2002-08-08 00:00:00;2006-01-01;
554;SEBEJD0UG4 ;IVX295;IVX295609;OD;2002-08-08 00:00:00;2006-01-01;
555;PEGCIP0UG3 ;IVX236;IVX236610;OD;2002-03-15 00:00:00;2006-01-01;
556;GOENDA0UG30;IVX47;IVX47611;DO;2002-07-16 00:00:00;2006-01-01;
557;GOENDA0UG25;IVX47;IVX47612;DO;2002-07-16 00:00:00;2006-01-01;
558;GOENDA0UG19;IVX47;IVX47613;DO;2002-07-16 00:00:00;2006-01-01;
559;BAEGJG0UG45;IVX145;IVX145614;OD;2002-06-28 00:00:00;2005-01-01;
560;GOENDA0UG13;IVX47;IVX47615;DO;2002-07-16 00:00:00;2006-01-01;
561;ESBECI0UG11;IVX175;IVX175616;OD;2002-06-06 00:00:00;2006-01-01;
562;ESBECI0UG5 ;IVX175;IVX175617;OD;2002-06-06 00:00:00;2006-01-01;
563;CEBRFZ0UG10;IVX158;IVX158618;DO;2002-11-20 00:00:00;2005-07-01;2005-01-01 00:00:00
564;CEBRFZ0UG5 ;IVX158;IVX158619;DO;2002-11-20 00:00:00;2005-07-01;2005-01-01 00:00:00
565;MGCUSL0UG38;IVX204;IVX204620;OD;2002-07-13 00:00:00;2005-01-01;
566;MGCUSL0UG32;IVX204;IVX204621;OD;2002-07-13 00:00:00;2005-01-01;
567;MGCUSL0UG26;IVX204;IVX204622;OD;2002-07-13 00:00:00;2005-01-01;
568;MGCUSL0UG15;IVX204;IVX204623;OD;2002-07-13 00:00:00;2005-01-01;
569;MGCUSL0UG16;IVX204;IVX204624;OD;2002-07-13 00:00:00;2005-01-01;
570;MGCUSL0UG9 ;IVX204;IVX204625;OD;2002-07-13 00:00:00;2005-01-01;
571;MGCUSL0UG3 ;IVX204;IVX204626;OD;2002-07-13 00:00:00;2005-01-01;
572;BAEGJG0UG62;IVX145;IVX145627;OD;2002-06-28 00:00:00;2005-01-01;
573;BAEGJG0UG56;IVX145;IVX145628;OD;2002-06-28 00:00:00;2005-01-01;
574;GOENDA0UG5 ;IVX47;IVX47629;DO;2002-07-16 00:00:00;2006-01-01;
575;ESBEPB0UG7 ;IVX147;IVX147630;OD;2002-06-21 00:00:00;2006-01-01;
576;CECGJB0UG8 ;IVX162;IVX162631;OD;2002-04-22 00:00:00;2003-06-26;
577;CECGAQ0UG4 ;IVX159;IVX159632;OD;2002-04-22 00:00:00;2004-07-09;
578;MGCUSL0UG21;IVX204;IVX204633;OD;2002-07-13 00:00:00;2005-01-01;
579;BAEGJG0UG57;IVX145;IVX145634;OD;2002-06-28 00:00:00;2005-01-01;
580;BAEGJG0UG28;IVX145;IVX145635;OD;2002-06-28 00:00:00;2005-01-01;
581;SEBGLG0UG2 ;IVX86;IVX86636;OD;2002-06-29 00:00:00;2005-01-01;
582;ALBGMD0UG2 ;IVX128;IVX128637;OD;2002-06-09 00:00:00;2005-01-01;
583;RNPEPM0UG44;IVX261;IVX261638;OD;2002-07-06 00:00:00;2005-01-01;
584;RNPEPM0UG15;IVX261;IVX261639;OD;2002-07-06 00:00:00;2005-01-01;
585;CECGPP0UG4 ;IVX165;IVX165640;OD;2002-04-22 00:00:00;2004-07-09;
586;CECGD20UG5 ;IVX46;IVX46641;OD;2002-04-17 00:00:00;2003-06-26;
587;CEEGTU0UG6 ;IVX169;IVX169642;OD;2008-01-01 00:00:00;2013-01-01;
588;PIEGCM0UG5 ;IVX244;IVX244643;OD;2008-01-01 00:00:00;2013-01-01;
589;BANGCD0UG5 ;IVX74;IVX74644;DO;2002-10-29 00:00:00;2005-01-01;
590;GOMAXA0UG28;IVX185;IVX185645;OD;2002-07-16 00:00:00;2006-01-01;
591;GOENDA0UG7 ;IVX47;IVX47646;DO;2002-07-16 00:00:00;2006-01-01;
592;GOMAXA0UG22;IVX185;IVX185647;OD;2002-07-16 00:00:00;2006-01-01;
593;GOMAXA0UG11;IVX185;IVX185648;OD;2002-07-16 00:00:00;2006-01-01;
594;GOMAXA0UG5 ;IVX185;IVX185649;OD;2002-07-16 00:00:00;2006-01-01;
595;ESBECA0UG30;IVX174;IVX174650;OD;2002-05-14 00:00:00;2006-01-01;2005-08-01 00:00:00
596;ESBECA0UG29;IVX174;IVX174651;OD;2002-05-14 00:00:00;2006-01-01;2005-02-01 00:00:00
597;ESBECA0UG27;IVX174;IVX174652;OD;2002-05-14 00:00:00;2006-01-01;2005-08-01 00:00:00
598;ESBECA0UG25;IVX174;IVX174653;OD;2002-05-14 00:00:00;2006-01-01;2005-09-01 00:00:00
599;ESBECA0UG24;IVX174;IVX174654;OD;2002-05-14 00:00:00;2006-01-01;2005-09-01 00:00:00
600;ESBECA0UG23;IVX174;IVX174655;OD;2002-05-14 00:00:00;2006-01-01;2005-07-01 00:00:00
601;ESBECA0UG22;IVX174;IVX174656;OD;2002-05-14 00:00:00;2006-01-01;2005-10-01 00:00:00
602;ESBECA0UG13;IVX174;IVX174657;OD;2002-05-14 00:00:00;2006-01-01;2005-03-01 00:00:00
603;ESBECA0UG12;IVX174;IVX174658;OD;2002-05-14 00:00:00;2006-01-01;2005-10-01 00:00:00
604;ESBECA0UG11;IVX174;IVX174659;OD;2002-05-14 00:00:00;2006-01-01;2005-05-01 00:00:00
605;ESBECA0UG10;IVX174;IVX174660;OD;2002-05-14 00:00:00;2006-01-01;2005-06-01 00:00:00
606;GOMAXA0UG17;IVX185;IVX185661;OD;2002-07-16 00:00:00;2006-01-01;
607;CECGJB0UG2 ;IVX162;IVX162662;OD;2002-04-22 00:00:00;2003-06-26;
608;PEGCIP0UG2 ;IVX236;IVX236663;OD;2002-03-15 00:00:00;2006-01-01;
609;ESBEPB0UG8 ;IVX147;IVX147664;OD;2002-06-21 00:00:00;2006-01-01;
610;CECGD20UG10;IVX46;IVX46665;OD;2002-04-17 00:00:00;2003-06-26;
611;CECGD20UG4 ;IVX46;IVX46666;OD;2002-04-17 00:00:00;2003-06-26;
612;CECGD10UG11;IVX45;IVX45667;OD;2002-04-20 00:00:00;2003-06-26;
613;CECGD10UG5 ;IVX45;IVX45668;OD;2002-04-20 00:00:00;2003-06-26;
614;CEEGPC0UG7 ;IVX167;IVX167669;OD;2008-05-26 00:00:00;2013-01-01;
615;CEEGJN0UG9 ;IVX166;IVX166670;OD;2008-01-01 00:00:00;2013-01-01;
616;CEEGJN0UG3 ;IVX166;IVX166671;OD;2008-01-01 00:00:00;2013-01-01;
617;CEEGTU0UG5 ;IVX169;IVX169672;OD;2008-01-01 00:00:00;2013-01-01;
618;CEEGCT0UG7 ;IVX106;IVX106673;OD;2008-01-01 00:00:00;2013-01-01;
619;CEEGCC0UG9 ;IVX344;IVX344674;OD;2008-01-01 00:00:00;2013-01-01;
620;CEEGCC0UG3 ;IVX344;IVX344675;OD;2008-01-01 00:00:00;2013-01-01;
621;CEEGTE0UG3 ;IVX38;IVX38676;OD;2008-01-01 00:00:00;2013-01-01;
622;CEEGTI0UG3 ;IVX168;IVX168677;OD;2008-01-01 00:00:00;2013-01-01;
